50,1000
100,2000
150,3000
200,4000
250,5000
300,6000
350,7000
400,8000
450,9000
500,10000
550,11000
600,12000
650,13000
700,14000
750,15000
800,16000
850,17000
900,18000
950,19000
1000,20000
1050,21000
1100,22000
1150,23000
1200,24000
1250,25000
1300,26000
1350,27000
1400,28000
1450,29000
1500,30000
1550,31000
1600,32000
1650,33000
1700,34000
1750,35000
1800,36000
1850,37000
1900,38000
1950,39000
2000,40000
2050,41000
2100,42000
2150,43000
2200,44000
2250,45000
2300,46000
2350,47000
2400,48000
2450,49000
2500,50000
2550,51000
2600,52000
2650,53000
2700,54000
2750,55000
2800,56000
2850,57000
2900,58000
2950,59000
3000,60000
3050,61000
3100,62000
3150,63000
3200,64000
3250,65000
3300,66000
3350,67000
3400,68000
3450,69000
3500,70000
3550,71000
3600,72000
3650,73000
3700,74000
3750,75000
3800,76000
3850,77000
3900,78000
3950,79000
4000,80000
4050,81000
4100,82000
4150,83000
4200,84000
4250,85000
4300,86000
4350,87000
4400,88000
4450,89000
4500,90000
4550,91000
4600,92000
4650,93000
4700,94000
4750,95000
4800,96000
4850,97000
4900,98000
4950,99000
5000,100000
